datetime,aqi,co,no,no2,o3,pm2_5,pm10,so2,nh3
2026-06-07 22:48:26.911147,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:28.338339,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:29.784676,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:31.236361,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:32.674168,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:34.446034,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:35.898443,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:37.351924,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:38.780030,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:40.224558,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:41.631447,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:43.081039,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:45.581268,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:47.079923,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:48.920700,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:50.536838,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:51.990077,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:53.414693,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:54.882161,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:56.329643,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:58.786185,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:00.203720,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:01.628297,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:03.060193,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:04.610799,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:06.054131,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:07.477287,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:09.915258,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:11.364133,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:12.844589,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:14.319289,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:15.813118,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:17.281893,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:18.742570,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:20.528346,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:22.330354,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:23.957897,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:25.438365,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:26.897993,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:28.431880,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:30.140650,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:31.592030,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:33.028835,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:34.500587,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:35.932915,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:37.390374,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:39.538311,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:41.092548,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:43.535107,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:44.992015,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:46.402350,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:47.814069,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:50.321306,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:51.767426,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:53.359755,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:54.831210,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:56.293995,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:49:57.697123,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:00.605652,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:02.011623,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:03.456851,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:04.913866,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:06.734127,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:08.208884,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:09.646028,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:11.471479,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:12.897752,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:14.694800,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:17.152812,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:18.632461,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:20.103718,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:21.555138,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:23.009173,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:24.464965,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:50:25.879082,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
